,装移机情况,全省,南京,无锡,镇江,苏州,南通,扬州,盐城,徐州,淮安,连云港,常州,泰州,宿迁,月份,年份
288,FTTH昨日竣工数合计,7323,1488,1103,362,1307,385,475,256,492,212,234,552,221,236,3,2012
289,FTTH昨日竣工数合计,6133,1150,874,300,1083,389,527,241,418,167,211,346,198,229,3,2012
290,FTTH昨日竣工数合计,6704,1410,1014,316,1307,367,409,267,420,183,214,432,151,214,3,2012
291,FTTH昨日竣工数合计,6347,1497,758,305,1171,326,414,200,473,212,275,358,169,189,3,2012
292,FTTH昨日竣工数合计,6165,1550,748,215,1023,351,404,193,497,240,255,377,183,129,3,2012
293,FTTH昨日竣工数合计,6890,1744,796,306,1193,397,479,243,513,210,248,402,168,191,3,2012
294,FTTH昨日竣工数合计,7566,1827,1122,296,1285,403,550,214,521,226,271,476,163,212,3,2012
295,FTTH昨日竣工数合计,7454,1558,1199,341,1291,424,484,227,548,231,223,474,241,213,3,2012
296,FTTH昨日竣工数合计,5896,1144,1115,229,1330,295,300,162,357,125,191,387,136,125,3,2012
297,FTTH昨日竣工数合计,7022,1427,977,385,1158,478,503,312,544,226,287,396,126,203,3,2012
298,FTTH昨日竣工数合计,7299,1790,869,339,1256,378,448,268,615,217,297,426,173,223,3,2012
299,FTTH昨日竣工数合计,7278,1966,918,265,1150,446,383,339,489,247,297,387,200,191,3,2012
300,FTTH昨日竣工数合计,7090,1607,979,313,1252,421,505,259,416,193,282,482,163,218,3,2012
301,FTTH昨日竣工数合计,7556,1710,1128,303,1341,457,494,223,500,178,261,546,176,239,3,2012
302,FTTH昨日竣工数合计,7906,1741,1023,411,1310,531,541,308,560,188,340,494,176,283,3,2012
303,FTTH昨日竣工数合计,7079,1615,966,272,1330,455,543,303,405,149,249,350,223,219,3,2012
304,FTTH昨日竣工数合计,6822,1435,882,284,1156,419,546,299,626,198,289,279,122,287,3,2012
307,FTTH昨日竣工数合计,6887,1673,924,352,1234,459,358,250,318,141,266,435,180,297,4,2012
308,FTTH昨日竣工数合计,5821,1404,670,297,1051,417,322,198,347,120,203,405,110,277,4,2012
309,FTTH昨日竣工数合计,4424,1431,577,95,734,313,135,146,204,97,129,308,38,217,4,2012
310,FTTH昨日竣工数合计,6515,1790,909,229,1130,377,375,223,342,146,154,430,139,271,4,2012
311,FTTH昨日竣工数合计,7275,1762,966,251,1376,454,446,247,375,136,244,482,256,280,4,2012
312,FTTH昨日竣工数合计,7767,2117,1092,262,1392,535,526,185,334,162,255,469,168,270,4,2012
313,FTTH昨日竣工数合计,6627,1900,727,259,1198,495,444,250,278,97,224,349,217,189,4,2012
314,FTTH昨日竣工数合计,6542,1441,836,239,1281,433,474,333,397,146,183,429,171,179,4,2012
315,FTTH昨日竣工数合计,7256,1296,1088,321,1404,444,488,259,431,179,227,626,267,226,4,2012
316,FTTH昨日竣工数合计,7220,1417,1101,330,1473,456,399,227,446,199,189,506,200,277,4,2012
317,FTTH昨日竣工数合计,7558,1324,1294,442,1499,488,466,250,414,232,189,472,198,290,4,2012
318,FTTH昨日竣工数合计,6984,1245,880,473,1443,429,447,263,456,184,250,469,188,257,4,2012
319,FTTH昨日竣工数合计,7085,1362,869,330,1488,527,463,207,537,214,254,370,157,307,4,2012
320,FTTH昨日竣工数合计,6836,1661,758,286,1416,531,447,164,404,132,235,343,183,276,4,2012
321,FTTH昨日竣工数合计,6766,1305,880,331,1315,410,417,258,447,159,251,420,210,363,4,2012
322,FTTH昨日竣工数合计,7224,1108,1101,382,1439,484,462,245,527,217,276,493,204,286,4,2012
323,FTTH昨日竣工数合计,7343,1049,1050,347,1629,582,437,223,491,218,328,504,204,281,4,2012
324,FTTH昨日竣工数合计,8165,1212,1056,384,1582,527,367,777,528,181,327,539,304,381,4,2012
325,FTTH昨日竣工数合计,7117,1060,977,323,1574,547,516,250,450,199,281,416,199,325,4,2012
326,FTTH昨日竣工数合计,7280,1246,914,344,1628,514,486,196,404,236,277,456,213,366,4,2012
327,FTTH昨日竣工数合计,6285,1149,739,292,1344,482,376,220,373,191,226,375,247,271,4,2012
328,FTTH昨日竣工数合计,6482,977,779,264,1477,514,414,207,414,198,250,489,184,315,4,2012
329,FTTH昨日竣工数合计,7509,1022,1346,279,1573,541,422,357,330,198,269,562,282,328,4,2012
330,FTTH昨日竣工数合计,7889,880,1140,344,1764,535,482,476,518,247,332,552,254,365,4,2012
331,FTTH昨日竣工数合计,7659,897,1033,390,1717,549,402,416,459,263,350,496,298,389,4,2012
332,FTTH昨日竣工数合计,8307,1003,1264,412,1920,587,449,449,480,198,400,532,252,361,4,2012
333,FTTH昨日竣工数合计,8708,974,1126,381,1940,666,539,665,547,309,358,634,223,346,4,2012
334,FTTH昨日竣工数合计,8273,948,1086,322,1644,603,605,601,635,312,379,500,259,379,4,2012
337,FTTH昨日竣工数合计,7374,786,1098,195,1313,529,339,1194,378,160,270,601,212,299,5,2012
338,FTTH昨日竣工数合计,8062,945,1351,339,1717,610,432,400,441,196,341,600,287,403,5,2012
339,FTTH昨日竣工数合计,8381,939,1248,374,1770,663,451,364,462,274,391,787,261,397,5,2012
340,FTTH昨日竣工数合计,8440,889,1290,302,1774,686,498,369,479,220,442,676,461,354,5,2012
341,FTTH昨日竣工数合计,7390,899,930,336,1561,680,520,319,359,151,413,559,326,337,5,2012
342,FTTH昨日竣工数合计,7159,747,995,342,1532,594,459,324,375,184,363,543,320,381,5,2012
343,FTTH昨日竣工数合计,7521,731,1161,381,1566,657,556,268,359,183,365,593,315,386,5,2012
344,FTTH昨日竣工数合计,8134,806,1153,398,1849,674,478,308,468,210,352,577,456,405,5,2012
345,FTTH昨日竣工数合计,8585,755,1241,509,1850,710,579,249,646,232,400,610,435,369,5,2012
346,FTTH昨日竣工数合计,7938,788,1027,401,1769,665,426,270,547,212,374,527,556,376,5,2012
347,FTTH昨日竣工数合计,8074,844,1132,360,1743,625,460,252,516,246,440,509,521,426,5,2012
348,FTTH昨日竣工数合计,6960,772,857,320,1546,649,448,232,357,257,383,326,466,347,5,2012
349,FTTH昨日竣工数合计,6610,672,922,321,1456,541,409,227,375,265,368,407,370,277,5,2012
350,FTTH昨日竣工数合计,8174,793,1153,365,1740,658,520,258,537,212,426,661,418,433,5,2012
351,FTTH昨日竣工数合计,8258,756,1151,426,1800,736,475,319,473,238,427,677,413,367,5,2012
352,FTTH昨日竣工数合计,8460,735,991,441,1892,633,568,308,602,302,442,630,498,418,5,2012
353,FTTH昨日竣工数合计,7864,722,1098,350,1777,622,462,286,491,249,429,584,433,361,5,2012
354,FTTH昨日竣工数合计,6816,763,779,345,1471,475,488,256,424,285,390,410,374,356,5,2012
355,FTTH昨日竣工数合计,7224,777,941,325,1592,680,473,232,425,194,384,494,453,254,5,2012
356,FTTH昨日竣工数合计,7319,763,1082,386,1358,673,483,259,414,243,374,569,414,301,5,2012
357,FTTH昨日竣工数合计,7563,742,1304,368,1259,649,495,256,486,232,382,673,407,310,5,2012
358,FTTH昨日竣工数合计,8233,797,1185,489,1413,699,513,348,604,271,439,646,468,361,5,2012
359,FTTH昨日竣工数合计,7692,788,1101,418,1191,655,617,344,544,283,420,522,438,371,5,2012
360,FTTH昨日竣工数合计,8233,807,1250,459,1278,779,500,312,640,311,463,677,403,354,5,2012
361,FTTH昨日竣工数合计,8327,863,991,581,1396,760,552,350,571,377,461,629,428,368,5,2012
362,FTTH昨日竣工数合计,7673,789,993,388,1228,666,518,360,574,434,462,512,430,319,5,2012
363,FTTH昨日竣工数合计,7976,805,1246,525,1232,680,476,407,532,288,440,550,402,393,5,2012
364,FTTH昨日竣工数合计,8194,867,1363,403,1355,666,546,351,542,335,396,587,391,392,5,2012
365,FTTH昨日竣工数合计,8383,906,1311,465,1177,770,513,409,659,317,370,610,437,439,5,2012
368,FTTH昨日竣工数合计,8072,953,1164,414,1284,751,543,407,450,307,367,591,466,375,6,2012
369,FTTH昨日竣工数合计,7272,843,1033,389,1211,610,520,375,422,287,364,566,276,376,6,2012
370,FTTH昨日竣工数合计,7741,800,1118,361,1072,746,396,578,436,266,329,731,450,458,6,2012
371,FTTH昨日竣工数合计,8348,695,1147,374,1393,742,543,462,489,300,551,777,434,441,6,2012
372,FTTH昨日竣工数合计,8164,708,1122,431,1288,749,554,396,504,353,427,805,404,423,6,2012
373,FTTH昨日竣工数合计,7718,717,1102,432,1205,782,531,351,435,267,361,754,370,411,6,2012
374,FTTH昨日竣工数合计,7903,716,1113,395,1183,736,560,425,469,300,414,803,403,386,6,2012
375,FTTH昨日竣工数合计,7471,772,1089,376,1204,721,487,358,433,251,445,632,364,339,6,2012
376,FTTH昨日竣工数合计,7353,742,1064,346,1087,775,528,432,429,252,366,597,366,369,6,2012
377,FTTH昨日竣工数合计,7706,757,1092,363,1149,678,516,457,455,248,392,721,439,439,6,2012
378,FTTH昨日竣工数合计,8225,859,1210,356,1207,635,533,549,452,310,392,796,485,441,6,2012
379,FTTH昨日竣工数合计,8452,849,1163,414,1282,702,595,538,516,268,392,841,494,398,6,2012
380,FTTH昨日竣工数合计,9001,867,1335,424,1294,872,566,558,624,320,409,790,476,466,6,2012
381,FTTH昨日竣工数合计,8600,864,1194,392,1210,888,522,494,628,357,361,691,465,534,6,2012
382,FTTH昨日竣工数合计,8984,1074,1177,421,1388,961,601,424,515,323,375,716,539,470,6,2012
383,FTTH昨日竣工数合计,7894,925,1096,350,1029,884,556,427,421,284,431,601,509,381,6,2012
384,FTTH昨日竣工数合计,8206,892,1134,387,1068,781,549,447,510,301,392,802,479,464,6,2012
385,FTTH昨日竣工数合计,8733,948,1263,384,1268,829,582,494,592,299,391,695,516,472,6,2012
386,FTTH昨日竣工数合计,8969,892,1249,391,1360,852,636,536,592,296,390,766,448,561,6,2012
387,FTTH昨日竣工数合计,9136,1004,1178,522,1331,991,522,459,554,367,435,791,456,526,6,2012
388,FTTH昨日竣工数合计,9736,1059,1250,452,1353,1156,566,513,703,364,412,774,540,594,6,2012
389,FTTH昨日竣工数合计,7333,633,1108,230,1192,1018,362,384,597,222,303,551,360,373,6,2012
390,FTTH昨日竣工数合计,8361,892,1205,322,1259,1149,468,376,545,299,377,558,436,475,6,2012
391,FTTH昨日竣工数合计,8523,948,1244,367,1180,948,513,431,486,312,382,772,502,438,6,2012
392,FTTH昨日竣工数合计,8109,940,995,379,1068,837,574,483,628,378,422,487,492,426,6,2012
393,FTTH昨日竣工数合计,10140,951,1296,369,1538,1266,718,605,701,429,463,776,459,569,6,2012
394,FTTH昨日竣工数合计,9704,1055,1311,430,1623,1095,705,630,709,314,287,786,469,290,6,2012
395,FTTH昨日竣工数合计,9976,1228,1405,474,1629,1149,601,622,639,340,239,782,460,408,6,2012
398,FTTH昨日竣工数合计,7629,1038,1134,328,1241,629,399,361,447,266,356,795,440,195,7,2012
399,FTTH昨日竣工数合计,8274,1056,1227,333,1298,679,352,416,472,440,365,817,443,376,7,2012
400,FTTH昨日竣工数合计,7815,1058,1276,431,1278,751,415,384,375,214,329,806,368,130,7,2012
401,FTTH昨日竣工数合计,7740,965,1043,445,1300,638,469,412,346,348,337,794,350,293,7,2012
402,FTTH昨日竣工数合计,8053,993,1109,405,1183,697,482,377,550,333,370,863,430,261,7,2012
403,FTTH昨日竣工数合计,8299,1000,1275,418,1342,648,515,420,517,293,448,775,403,245,7,2012
404,FTTH昨日竣工数合计,6707,946,1070,308,1179,523,420,301,464,283,96,565,355,197,7,2012
405,FTTH昨日竣工数合计,7664,895,1229,453,1206,567,431,372,441,404,174,782,446,264,7,2012
406,FTTH昨日竣工数合计,8046,856,1274,371,1358,593,479,431,588,333,245,790,454,274,7,2012
407,FTTH昨日竣工数合计,7995,995,1155,419,1283,642,451,490,499,316,261,722,436,326,7,2012
408,FTTH昨日竣工数合计,7852,740,1202,439,1310,536,447,560,541,367,244,721,437,308,7,2012
409,FTTH昨日竣工数合计,7232,854,1156,328,1190,502,368,470,494,248,199,678,421,324,7,2012
410,FTTH昨日竣工数合计,6844,865,986,218,1252,511,330,441,561,340,251,490,271,328,7,2012
411,FTTH昨日竣工数合计,7691,995,1164,390,1232,540,437,473,536,351,227,671,442,233,7,2012
412,FTTH昨日竣工数合计,7867,918,1150,410,1198,587,469,584,512,312,222,697,460,348,7,2012
413,FTTH昨日竣工数合计,8249,1015,1208,400,1246,578,507,532,612,341,237,769,478,326,7,2012
414,FTTH昨日竣工数合计,8696,1010,1215,466,1421,571,588,608,612,410,210,719,518,348,7,2012
415,FTTH昨日竣工数合计,8169,914,1148,422,1312,631,524,579,505,354,215,758,459,348,7,2012
416,FTTH昨日竣工数合计,8333,1034,1135,432,1250,620,537,594,596,400,177,738,487,333,7,2012
417,FTTH昨日竣工数合计,7971,1040,1039,421,1397,556,496,559,482,327,194,680,474,306,7,2012
418,FTTH昨日竣工数合计,7675,1020,1119,352,1236,619,441,512,448,323,152,647,507,299,7,2012
419,FTTH昨日竣工数合计,7399,860,987,370,1113,573,463,611,412,408,200,650,479,273,7,2012
420,FTTH昨日竣工数合计,8204,900,1178,386,1316,639,465,509,460,378,230,787,569,387,7,2012
421,FTTH昨日竣工数合计,8238,949,1082,394,1338,681,525,654,497,372,227,737,529,253,7,2012
422,FTTH昨日竣工数合计,8509,943,1191,466,1326,706,566,655,473,347,221,753,571,291,7,2012
423,FTTH昨日竣工数合计,8526,968,1158,461,1246,665,576,598,725,357,224,733,566,249,7,2012
424,FTTH昨日竣工数合计,8321,985,1071,435,1428,693,580,576,533,350,211,665,515,279,7,2012
425,FTTH昨日竣工数合计,7792,958,1119,363,1243,712,438,513,580,343,185,582,518,238,7,2012
426,FTTH昨日竣工数合计,8385,991,1012,387,1334,695,737,699,564,356,195,642,522,251,7,2012
429,FTTH昨日竣工数合计,8059,928,1060,392,1275,579,417,562,497,348,231,839,618,313,8,2012
430,FTTH昨日竣工数合计,7915,849,1005,370,1245,678,413,563,563,409,211,776,558,275,8,2012
431,FTTH昨日竣工数合计,8103,995,1065,340,1363,574,421,565,582,354,220,759,568,297,8,2012
432,FTTH昨日竣工数合计,7256,867,999,350,1143,600,391,496,538,285,201,597,539,250,8,2012
433,FTTH昨日竣工数合计,7626,902,1072,381,1103,724,379,590,495,314,190,725,511,240,8,2012
434,FTTH昨日竣工数合计,8205,905,1186,442,1310,724,398,593,567,322,179,734,519,326,8,2012
435,FTTH昨日竣工数合计,5700,740,474,265,493,455,369,591,636,283,210,397,475,312,8,2012
436,FTTH昨日竣工数合计,6162,524,876,267,943,635,238,462,581,223,139,541,454,279,8,2012
437,FTTH昨日竣工数合计,6882,788,1052,287,1180,669,285,543,492,197,50,650,531,158,8,2012
438,FTTH昨日竣工数合计,7746,963,1184,304,1205,728,337,464,522,321,190,631,618,279,8,2012
439,FTTH昨日竣工数合计,7316,966,1088,329,1139,623,340,499,460,296,165,603,623,185,8,2012
440,FTTH昨日竣工数合计,6373,849,843,308,940,552,402,445,350,261,180,592,440,211,8,2012
441,FTTH昨日竣工数合计,8375,894,1252,360,1334,787,445,563,534,338,227,746,656,239,8,2012
442,FTTH昨日竣工数合计,8365,903,1133,355,1315,794,547,575,648,349,237,738,550,221,8,2012
443,FTTH昨日竣工数合计,8479,876,1122,404,1258,723,731,636,535,329,232,871,547,215,8,2012
444,FTTH昨日竣工数合计,8207,867,1216,402,1211,809,318,679,559,314,176,875,517,264,8,2012
445,FTTH昨日竣工数合计,8420,1091,1171,396,1247,708,856,556,492,272,239,690,503,199,8,2012
446,FTTH昨日竣工数合计,7818,933,1118,320,1159,695,704,435,434,364,231,718,528,179,8,2012
447,FTTH昨日竣工数合计,7591,825,1071,359,1047,720,496,537,466,339,208,783,462,278,8,2012
448,FTTH昨日竣工数合计,7162,725,1047,309,1415,759,492,456,219,300,103,753,406,178,8,2012
449,FTTH昨日竣工数合计,8026,893,891,349,1414,701,473,605,607,330,268,709,490,296,8,2012
450,FTTH昨日竣工数合计,8603,988,1133,408,1308,687,774,634,498,348,239,707,576,303,8,2012
451,FTTH昨日竣工数合计,8885,946,1224,407,1222,684,1007,611,525,330,277,704,591,357,8,2012
452,FTTH昨日竣工数合计,8128,1051,1049,392,1383,430,805,512,455,333,270,621,546,281,8,2012
453,FTTH昨日竣工数合计,7659,979,1116,296,1230,430,937,482,269,236,224,818,448,194,8,2012
454,FTTH昨日竣工数合计,8280,952,1157,433,1242,430,378,603,472,243,240,1220,630,280,8,2012
455,FTTH昨日竣工数合计,8634,925,1244,403,1424,430,383,523,513,237,242,1384,612,314,8,2012
456,FTTH昨日竣工数合计,8117,1146,1236,503,1482,0,421,617,475,255,234,784,635,329,8,2012
457,FTTH昨日竣工数合计,8531,1066,1206,454,1394,0,409,602,527,226,251,1514,599,283,8,2012
460,FTTH昨日竣工数合计,8215,1006,1169,377,1189,0,1287,585,386,225,203,1054,501,233,9,2012
461,FTTH昨日竣工数合计,6575,847,975,298,1115,0,653,532,400,123,95,888,461,188,9,2012
462,FTTH昨日竣工数合计,7698,919,1142,401,1229,159,626,566,494,274,264,800,530,294,9,2012
463,FTTH昨日竣工数合计,9507,995,1403,409,1361,643,422,655,507,288,275,1717,556,276,9,2012
464,FTTH昨日竣工数合计,8675,1020,1251,415,954,339,977,633,509,270,202,1149,610,346,9,2012
465,FTTH昨日竣工数合计,6195,1140,1235,426,239,205,361,433,445,212,112,707,496,184,9,2012
466,FTTH昨日竣工数合计,6383,1082,1246,389,0,212,299,566,370,196,195,1024,517,287,9,2012
467,FTTH昨日竣工数合计,4775,908,828,208,0,98,293,476,341,210,198,617,341,257,9,2012
468,FTTH昨日竣工数合计,6147,926,1160,355,0,93,368,616,477,210,228,933,481,300,9,2012
469,FTTH昨日竣工数合计,8456,1015,1285,414,1133,772,343,760,417,228,229,1117,464,279,9,2012
470,FTTH昨日竣工数合计,7180,890,1141,438,763,512,368,553,450,258,177,698,576,356,9,2012
471,FTTH昨日竣工数合计,7045,960,1204,492,448,352,415,632,589,298,223,603,523,306,9,2012
472,FTTH昨日竣工数合计,6623,968,1199,413,310,173,414,612,502,295,190,683,511,353,9,2012
473,FTTH昨日竣工数合计,6869,976,1408,351,394,234,359,612,526,272,210,714,543,270,9,2012
474,FTTH昨日竣工数合计,6153,948,1251,309,362,232,340,568,429,228,226,586,439,235,9,2012
475,FTTH昨日竣工数合计,7093,894,1232,295,779,507,339,622,456,262,240,687,499,281,9,2012
476,FTTH昨日竣工数合计,7564,1068,1265,379,756,421,384,738,479,230,232,730,590,292,9,2012
477,FTTH昨日竣工数合计,8628,980,1309,511,1241,674,427,715,523,287,210,880,553,318,9,2012
478,FTTH昨日竣工数合计,8751,994,1308,475,1294,865,411,766,584,267,271,727,481,308,9,2012
479,FTTH昨日竣工数合计,8522,980,1255,483,1260,809,385,767,620,231,293,638,480,321,9,2012
480,FTTH昨日竣工数合计,8513,1093,1299,420,1154,784,421,703,577,242,330,678,553,259,9,2012
481,FTTH昨日竣工数合计,7996,1022,1047,380,1310,781,337,753,632,226,213,631,489,175,9,2012
482,FTTH昨日竣工数合计,9227,1062,1373,458,1471,911,433,787,733,222,275,725,503,274,9,2012
483,FTTH昨日竣工数合计,9607,1100,1365,502,1305,932,408,1217,683,207,278,755,521,334,9,2012
484,FTTH昨日竣工数合计,10276,1137,1429,519,1458,865,413,1398,822,278,256,815,528,358,9,2012
485,FTTH昨日竣工数合计,10365,1150,1417,576,1626,1003,483,964,840,311,274,798,583,340,9,2012
486,FTTH昨日竣工数合计,10322,1098,1412,581,1596,1010,456,1030,902,324,305,773,506,329,9,2012
487,FTTH昨日竣工数合计,10434,1056,1430,558,1421,931,597,1341,977,296,242,783,504,298,9,2012
490,FTTH昨日竣工数合计,4898,638,736,222,636,421,255,400,351,189,109,496,211,234,10,2012
491,FTTH昨日竣工数合计,5537,686,901,282,743,428,266,517,343,214,150,558,225,224,10,2012
492,FTTH昨日竣工数合计,6245,807,995,315,904,464,264,520,438,203,135,679,285,236,10,2012
493,FTTH昨日竣工数合计,6552,782,1016,331,936,538,301,597,470,241,159,595,369,217,10,2012
494,FTTH昨日竣工数合计,6380,759,973,283,886,544,295,568,466,272,157,661,293,223,10,2012
495,FTTH昨日竣工数合计,6594,952,1168,329,982,533,296,447,421,219,164,625,280,178,10,2012
496,FTTH昨日竣工数合计,7601,1053,1238,426,1186,592,359,513,418,288,160,718,330,320,10,2012
497,FTTH昨日竣工数合计,8159,1044,1327,459,1190,630,390,739,544,286,158,710,399,283,10,2012
498,FTTH昨日竣工数合计,8452,1078,1347,518,1225,726,448,774,474,297,172,671,411,311,10,2012
499,FTTH昨日竣工数合计,8279,1124,1161,507,1149,747,389,749,567,289,196,708,433,260,10,2012
500,FTTH昨日竣工数合计,8067,986,1287,462,1202,702,409,680,532,260,212,632,369,334,10,2012
501,FTTH昨日竣工数合计,7703,1006,1319,362,1202,744,403,575,434,292,185,549,348,284,10,2012
502,FTTH昨日竣工数合计,7367,1149,1166,362,1142,709,338,525,489,255,186,536,297,213,10,2012
503,FTTH昨日竣工数合计,7562,1018,1157,396,1178,674,401,575,492,260,163,614,362,272,10,2012
504,FTTH昨日竣工数合计,7549,846,1284,383,1215,629,323,645,493,289,183,625,360,274,10,2012
505,FTTH昨日竣工数合计,8009,1019,1087,451,1245,715,397,643,615,310,204,672,371,280,10,2012
506,FTTH昨日竣工数合计,8221,1071,1416,471,1247,631,414,647,557,236,183,656,403,289,10,2012
507,FTTH昨日竣工数合计,8113,1017,1288,448,1276,699,347,655,495,303,187,660,431,307,10,2012
508,FTTH昨日竣工数合计,7571,1093,1256,396,1270,559,356,532,420,271,169,628,337,284,10,2012
509,FTTH昨日竣工数合计,7086,1111,1089,373,1217,601,265,442,457,267,132,561,341,230,10,2012
510,FTTH昨日竣工数合计,6475,982,824,366,987,428,361,524,461,206,174,600,310,252,10,2012
511,FTTH昨日竣工数合计,8016,1012,1231,420,1446,619,396,564,505,269,187,698,402,267,10,2012
512,FTTH昨日竣工数合计,8169,977,1142,446,1428,631,384,692,632,221,179,663,448,326,10,2012
513,FTTH昨日竣工数合计,7592,993,1071,459,1255,581,398,581,546,277,197,604,361,269,10,2012
514,FTTH昨日竣工数合计,7574,940,1070,427,1353,573,327,659,491,247,205,714,316,252,10,2012
515,FTTH昨日竣工数合计,7662,1048,1089,440,1428,510,341,490,545,280,166,659,395,271,10,2012
516,FTTH昨日竣工数合计,7219,1132,1033,361,1353,538,315,486,476,221,142,647,304,211,10,2012
517,FTTH昨日竣工数合计,7876,1001,1070,368,1367,536,311,859,582,289,148,670,409,266,10,2012
518,FTTH昨日竣工数合计,8455,1071,1061,466,1376,558,361,649,688,301,205,792,629,298,10,2012
521,FTTH昨日竣工数合计,7870,988,997,422,1436,504,376,702,534,273,170,724,404,340,11,2012
522,FTTH昨日竣工数合计,7830,1179,1069,419,1366,537,342,657,436,277,175,773,349,251,11,2012
523,FTTH昨日竣工数合计,5871,941,966,271,1292,342,284,472,462,198,152,239,44,208,11,2012
524,FTTH昨日竣工数合计,7140,1051,973,396,1192,460,328,585,473,228,176,728,294,256,11,2012
525,FTTH昨日竣工数合计,7415,1033,1030,444,1290,462,372,509,620,252,178,641,348,236,11,2012
526,FTTH昨日竣工数合计,7739,1079,1066,459,1214,520,330,588,648,228,180,690,420,317,11,2012
527,FTTH昨日竣工数合计,7212,968,953,425,1175,476,319,606,538,271,173,653,373,282,11,2012
528,FTTH昨日竣工数合计,6380,852,747,321,1081,403,329,611,612,209,179,492,275,269,11,2012
529,FTTH昨日竣工数合计,5875,1052,969,292,1268,366,248,264,245,155,107,511,250,148,11,2012
530,FTTH昨日竣工数合计,6772,1143,971,344,1094,430,267,476,445,219,164,612,380,227,11,2012
531,FTTH昨日竣工数合计,7304,1040,1057,398,1190,481,310,498,516,207,218,738,368,283,11,2012
532,FTTH昨日竣工数合计,7879,1025,1156,415,1316,557,374,633,565,259,216,655,404,304,11,2012
533,FTTH昨日竣工数合计,7884,973,1211,429,1327,517,376,677,597,220,231,659,410,257,11,2012
534,FTTH昨日竣工数合计,7982,1049,1196,428,1343,597,357,686,546,224,212,687,385,272,11,2012
535,FTTH昨日竣工数合计,6351,942,853,339,1072,317,276,527,561,199,187,554,310,214,11,2012
536,FTTH昨日竣工数合计,7897,1031,1257,375,1459,532,298,586,637,268,222,600,354,278,11,2012
537,FTTH昨日竣工数合计,6854,1046,1023,330,1174,475,280,502,538,188,199,529,328,242,11,2012
538,FTTH昨日竣工数合计,7618,1099,1153,391,1246,596,294,563,566,202,194,653,378,283,11,2012
539,FTTH昨日竣工数合计,7987,1077,1183,401,1423,549,321,615,643,219,200,701,366,289,11,2012
540,FTTH昨日竣工数合计,5741,951,755,266,896,313,203,401,638,177,175,556,200,210,11,2012
541,FTTH昨日竣工数合计,7087,945,950,343,1234,514,224,545,589,268,214,600,323,338,11,2012
542,FTTH昨日竣工数合计,6969,994,915,374,1131,417,318,552,581,298,193,620,287,289,11,2012
543,FTTH昨日竣工数合计,7924,1171,1227,395,1398,566,325,476,572,293,202,706,320,273,11,2012
544,FTTH昨日竣工数合计,5275,943,781,239,1051,418,198,309,370,125,129,440,160,112,11,2012
545,FTTH昨日竣工数合计,7483,1021,1196,391,1268,519,334,588,543,205,185,684,286,263,11,2012
546,FTTH昨日竣工数合计,8248,1057,1117,433,1434,550,336,814,732,238,207,798,299,233,11,2012
547,FTTH昨日竣工数合计,8947,1109,1283,489,1618,745,383,757,591,265,225,854,326,302,11,2012
548,FTTH昨日竣工数合计,9252,1226,1306,495,1553,772,376,860,583,277,235,954,390,225,11,2012
551,FTTH昨日竣工数合计,7078,1009,1002,339,1275,456,312,554,504,216,239,613,381,178,12,2012
552,FTTH昨日竣工数合计,7753,1135,1077,375,1375,504,377,565,496,242,219,785,355,248,12,2012
553,FTTH昨日竣工数合计,8503,1161,1132,442,1489,540,395,735,546,280,246,785,462,290,12,2012
554,FTTH昨日竣工数合计,8527,1146,1180,469,1545,552,408,571,546,264,250,746,566,284,12,2012
555,FTTH昨日竣工数合计,8305,1051,1267,456,1466,569,393,557,526,311,226,734,509,240,12,2012
556,FTTH昨日竣工数合计,8165,1005,1252,460,1352,494,405,631,582,308,213,743,446,274,12,2012
557,FTTH昨日竣工数合计,7954,1075,1192,464,1383,524,374,556,555,256,217,659,476,223,12,2012
558,FTTH昨日竣工数合计,7047,1077,1047,349,1176,468,292,485,512,186,188,507,578,182,12,2012
559,FTTH昨日竣工数合计,7400,989,1119,376,1155,599,316,659,475,222,193,634,379,284,12,2012
560,FTTH昨日竣工数合计,8038,1004,1288,409,1388,582,411,551,590,196,214,666,484,255,12,2012
561,FTTH昨日竣工数合计,8317,967,1278,478,1437,594,397,584,607,248,245,695,497,290,12,2012
562,FTTH昨日竣工数合计,8020,1032,1212,442,1454,639,415,626,393,248,195,678,488,198,12,2012
563,FTTH昨日竣工数合计,7561,1016,1191,410,1216,552,362,570,450,249,184,633,468,260,12,2012
564,FTTH昨日竣工数合计,7262,1072,1059,314,1387,512,341,543,547,233,198,545,277,234,12,2012
565,FTTH昨日竣工数合计,6957,1187,897,344,1123,517,335,618,462,207,205,564,316,182,12,2012
566,FTTH昨日竣工数合计,8040,1092,1189,385,1221,646,376,568,474,239,210,647,743,250,12,2012
567,FTTH昨日竣工数合计,8594,1276,1292,396,1444,668,415,512,535,296,210,714,533,303,12,2012
568,FTTH昨日竣工数合计,8777,1183,1200,518,1454,653,402,567,547,241,230,724,734,324,12,2012
569,FTTH昨日竣工数合计,8461,1046,1099,441,1351,648,418,564,593,285,218,677,819,302,12,2012
570,FTTH昨日竣工数合计,7556,1069,1069,328,1284,605,282,539,535,174,186,604,715,166,12,2012
571,FTTH昨日竣工数合计,8636,1241,1237,372,1592,592,379,580,486,302,239,626,766,224,12,2012
